codigo;estado;nombre;descripcion;fuente_desc;familia;familia_indice;subcategoria;marcas;codigo_original;compatibilidad;ubicacion;medidas;ref_interna;foto;foto_confianza;clave_rubro;clave_subrubro;clave_producto;pagina;origen;flags;encabezado_pdf
2101001;completo;"Walbro 9 x 2,8mm Walbro 9 x 2,8 mm";"Walbro 9 x 2,8mm Walbro 9 x 2,8 mm";texto del PDF;Carburación;Carburación;PUNZUARES DE CARBURADOR;Walbro;;"Walbro 9 x 2,8mm Walbro 9 x 2,8 mm";;"2,8mm | 2,8 mm";;2101001.jpg;;2 Tiempos;Desmalezadora;Partes de carburador;39;grilla;;CARBURACIÓN - PUNZUARES DE CARBURADOR - 2 TIEMPOS
2101002;completo;"Zama 16,5 x 3,5mm Zama 16,5 x 3,5 mm 4 TIEMPOS";"Zama 16,5 x 3,5mm Zama 16,5 x 3,5 mm 4 TIEMPOS";texto del PDF;Carburación;Carburación;PUNZUARES DE CARBURADOR;Zama;;"Zama 16,5 x 3,5mm Zama 16,5 x 3,5 mm 4 TIEMPOS";;"3,5mm | 3,5 mm";;2101002.jpg;;2 Tiempos;Desmalezadora;Partes de carburador;39;grilla;;CARBURACIÓN - PUNZUARES DE CARBURADOR - 2 TIEMPOS
2101003;completo;Valvula Check Walbro WYJ;Valvula Check Walbro WYJ;texto del PDF (OCR);Carburación;Carburación;VÁLVULAS;;;Valvula Check Walbro WYJ;;;;2101003.jpg;;2 Tiempos;Desmalezadora;Partes de carburador;26;grilla;;CARBURACIÓN - VÁLVULAS
2101004;completo;Valvula Venteo Echo 131300 56430;Valvula Venteo Echo 131300 56430;texto del PDF (OCR);Carburación;Carburación;VÁLVULAS;;;Valvula Venteo Echo 131300 56430;;;;2101004.jpg;;2 Tiempos;Desmalezadora;Partes de carburador;26;grilla;;CARBURACIÓN - VÁLVULAS
2101005;completo;Difusor bronce Walbro;Difusor bronce Walbro;texto del PDF (OCR);Carburación;Carburación;VÁLVULAS;;;Difusor bronce Walbro;;;;2101005.jpg;;2 Tiempos;Desmalezadora;Partes de carburador;26;grilla;;CARBURACIÓN - VÁLVULAS
2101099;completo;PARTES DE CHINAS 33CC;PARTES DE CHINAS 33CC;texto del PDF;Desmalezadoras;Desmalezadoras;Partes de carburador;;;PARTES DE CHINAS 33CC;;33CC;;2101099.jpg;;2 Tiempos;Desmalezadora;Partes de carburador;94;grilla;;PARTES DE DESMALEZADORAS CHINAS 26CC
2101100;completo;Brida Admisión Desmalezadoras Chinas 33 cc;Brida Admisión Desmalezadoras Chinas 33 cc;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;Partes de carburador;;;Brida Admisión Desmalezadoras Chinas 33 cc;;;;2101100.jpg;;2 Tiempos;Desmalezadora;Partes de carburador;94;grilla;;PARTES DE DESMALEZADORAS CHINAS 26CC
2101101;completo;Brida admision Chinas 43/52cc;Brida admision Chinas 43/52cc;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;Partes de carburador;;;Brida admision Chinas 43/52cc;;;;2101101.jpg;;2 Tiempos;Desmalezadora;Partes de carburador;96;grilla;;PARTES DE DESMALEZADORAS CHINAS 43CC / 52CC
2102128;completo;Tipo Zama Husqvarna;Tipo Zama Husqvarna;texto del PDF (OCR);Desmalezadoras;Desmalezadoras;CARBURADORES;Echo;;Tipo Zama Husqvarna;;;;2102128.jpg;;2 Tiempos;Desmalezadora;Carburador;66;grilla;;CARBURADORES - 2 TIEMPOS -DESMALEZADORAS - ECHO - REEMPLAZOS
2102143;completo;Carburador;Carburador Repl Hus-143R;texto del PDF;Desmalezadoras;Desmalezadoras;Carburador;Husqvarna;Hus-143R;Carburador Repl Hus-143R;;;;2102143.jpg;;2 Tiempos;Desmalezadora;Carburador;98;grilla;;PARTES DE DESMALEZADORAS REEMPLAZO HUSQVARNA 143R
